,Title,Label,News
0,‘हेटौंडाको माटोलाई उत्पादनसँग जोड्न युवा शक्तिलाई अघि बढाउनै पर्छ’,Interview,काठमाडौँ — वाग्मती प्रदेशको राजधानीसमेत रहेको हेटौंडा उपमहानगरपालिकाको मेयरमा नेकपा (एकीकृत समाजवादी) की नेतृ मीना लामा निर्वाचित भएकी छन् । स्थानीय तहको निर्वाचनअन्तर्गत सत्तारुढ गठबन्धनको तर्फबाट निर्वाचित भएकी लामासँग यसअघि उपमेयर सम्हालिसकेको अनुभव छ । नेकपा एमालेबाट उपमेयरमा बनेकी लामाले समाजवादीको तर्फबाट उम्मेदवार बन्दै ३० वर्षदेखि हेटौंडामा एमालेले गरेको एकछत्र राजमा पूर्णविराम लगाइदिएर सर्वत्र चर्चामा छिन् । उनै लामासँग कान्तिपुरका लागि मकवानपुर संवाददाता सुवास विडारीले गरेको कुराकानी:
1,'जित-हारको मनोविज्ञान त्यागेर काठमाडौंको विकास र समृद्धिमा लागौं',Interview,काठमाडौं महानगरपालिकाका मतदाताले यस पटक युवा रोजेका छन् । दलका उम्मेदवारलाई अस्वीकृत गर्दै मेयरमा स्वतन्त्र उम्मेदवार वालेन्द्र साहलाई रोजे । उपमेयरमा भने नेकपा एमालेबाट उम्मेदवार बनेकी २९ वर्षीया सुनिता डंगोललाई निर्वाचित गराए । तर महानगरका धेरैजसो वडाहरुमा भने नेपाली कांग्रेसका उम्मेदवारहरुले जितेका छन् । त्यसैले मेयर र उपमेयर बनेका साह र डंगोललाई आफ्ना योजनाहरू पूरा गराउन कांग्रेस र एमालेबाट निर्वाचित जनप्रतिनिधिलाई साथ लिएर हिँड्नुपर्ने चुनौती छ । आगामी योजना र चुनौतीका सन्दर्भमा काठमाडौं महानगरपालिकाकी नवनिर्वाचित उपमेयर सुनिता डंगोलसँग ईकान्तिपुरका लागि गोविन्द पोखरेलले गरेको कुराकानी :
2,‘हरेक बसमा सीसीटीभी र जीपीएस सिस्टम जडान गर्छौं’,Interview,काठमाडौँ — मुलुकको राजधानीसमेत रहेको काठमाडौँ महानगरपालिकामा स्वतन्त्र उम्मेदवार बालेन्द्र साह ६१ हजार ७ सय ६७ मतसहित प्रमुखमा निर्वाचित भएका छन् । उनले सत्तारुढ गठबन्धनका तर्फबाट नेपाली कांग्रेसका उम्मेदवार सिर्जना सिंह र नेकपा (एमाले)का उम्मेदवार केशव स्थापितलाई पराजित गरे । ‘र्‍यापर’को पहिचान बनाएका प्रमुख साहले ह्वाइट हाउस इन्स्टिच्युट अफ टेक्नोलोजीबाट सिभिल इन्जिनियरिङमा स्नातक र भारतको कर्नाटक विश्वेश्वरैया राष्ट्रिय प्रौद्योगिक संस्थानबाट स्ट्रक्चरल इन्जिनियरिङमा स्नातकोत्तर गरेका हुन् ।
3,‘पाँच वर्षमा विराटनगरलाई आत्मनिर्भर र समृद्ध बनाउँछु’,Interview,"विराटनगर — महानगर विराटनगरको मेयर पदका लागि जिल्लादेखि केन्द्रसम्म आकांक्षीहरुको तँछाडमछाड चलेको थियो । ठूलो रस्साकस्सीका बीच सबैलाई उछिन्दै मोरङका कांग्रेस उपसभापति ४९ वर्षीय नागेश कोइरालाले बाजी मारे । तरुण दलको पूर्वजिल्ला सभापति उनी मोरङ कांग्रेसको कोषाध्यक्ष, सचिव हुँदै उपसभापतिसम्म भएका हुन् । आगामी पाँच वर्षे कार्यकालको सम्भावित रणनीति बारेमा कोइरालासँग कान्तिपुरका विनोद भण्डारीले गरेको कुराकानी:"
4,‘ललितपुर महानगरलाई प्लास्टिक झोलामुक्त सहर बनाउँछौं’,Interview,"ललितपुर महानगरपालिकामा यतिबेला करिब ३ अर्ब रुपैयाँ बेरूजु फर्छ्यौट गर्न बाँकी छ । गत ५ वर्षमा महानगरले कहिल्यै पनि समयमा बजेट ल्याउन सकेन । करछली गरिरहेका स्कुल, कलेज, सपिङ मलदेखि ठूला घरधनीहरूलाई कानुनी दायरमा ल्याउन पनि सकेन । महानगरको बोर्ड बैठकका निर्णय पनि अधिकांश अधुरै छन् । यस्तो अवस्थामा दोस्रो पटक पनि मेयर जितेका चिरिबाबु महर्जनका महानगर सुधार र विकासका आगामी योजनाहरु के-के छन् ? यसबारे नवनिर्वाचित मेयर महर्जनसँग कान्तिपुरका प्रशान्त मालीले गरेको कुराकानीको सम्पादित अंश:"
5,‘पोखरामा विदेशी पर्यटकको औसत बसाइ चार दिन पुर्‍याउँछु',Interview,"पोखरा — सत्तारुढ पाँच दलीय गठबन्धनले देशका ६ महानगरको प्रमुख भागबन्डा गर्दा पोखरा नेकपा (एकीकृत समाजवादी)को भागमा पर्‍यो । पोखराका कांग्रेस नेता, कार्यकर्ताले असन्तुष्टि पोखे । नेकपा (एस)को संगठन नै बनिनसकेको भन्दै ‘मानोमा मुरी खन्याउँदा पोखिन सक्ने’ बताएका थिए । यद्यपि, समाजवादीबाट धनराज आचार्यले टिकट पाए । महानगरको १६ औं मेयरमा उनी निर्वाचित हुँदा गठबन्धनबाट उपमेयरमा चुनाव लडेकी कांग्रेसकी कोपिला रानाभाट निर्वाचित हुन सकिनन् ।"
6,‘वाम गठबन्धनको चक्करमा एमाले लाग्दैन’,Interview,काठमाडौँ — जनमत र गठबन्धनभित्र पनि अलगअलग पार्टी छन् भन्ने मान्दा अहिले पनि ठूलो र स्थानीय तह निर्वाचनले प्रमुख राजनीतिक दलहरुको शक्ति अदलबदल गरेको छ । पहिलो पार्टी बन्ने घोषणा गर्दै सत्ता गठबन्धनसँग चुनावी प्रतिस्पर्धामा होमिएको एमाले दोस्रो स्थानमा खुम्चिएको छ । शक्ति सन्तुलनमा हेरफेरपछि संघ र प्रदेशको आउँदो चुनावमा वामपन्थी दलहरु एक भएर जान्छन् कि अहिलेकै जस्तो छिन्नभिन्न रहन्छन् ? के एमाले सत्ता गठबन्धन भत्काउन सक्रिय हुन थालेको हो ? यस्तै प्रश्नको जवाफ खोज्न एमाले उपाध्यक्ष विष्णु पौडेलसँग कान्तिपुरका दुर्गा खनाल र बबिता शर्माले गरेको कुराकानी:
7,'राजनीतिज्ञलाई विज्ञान बुझाउन दिनभरी प्रयोगशाला हेर्न लगाउनुपर्छ',Interview,नेचर इन्डियाकी प्रधान सम्पादक शुभ्रा प्रियदर्शिनी दक्षिण एसियामा विगत २५ वर्षदेखि निरन्तररुपमा विज्ञान पत्रकारिता गर्दै आएकी छन् । विश्वको चर्चित नेचर जर्नलको इन्डिया संस्करणको प्रधान सम्पादकमा उनी सन् २००८ देखि कार्यरत छिन् । भारतको विभिन्न मूलधारका मिडियामा विज्ञान पत्रकारिताको अनुभवसँगै लन्डनमै बसेर विज्ञान पत्रकारिता गरेको अनुभव उनीसँग छ । विज्ञान पत्रकारितासँग सम्बन्धित विभिन्न अन्तर्राष्ट्रिय अवार्डसमेत पाएकी उनीसँग नेपाल र दक्षिण एसियामा विज्ञान पत्रकारिता विषयसँग सम्बन्धित भएर ईकान्तिपुरका गोविन्द पोखरेलले गरेको कुराकानी:
8,"'मसँग गठबन्धनको शक्तिमात्रै हैन, अनुभव र योजना छ' [भिडियो]",Interview,काठमाडौँ — काठमाडौैं महानगरपालिकामा चुनावी प्रचार तीब्र छ । सत्ता गठबन्धनभित्रबाट कांग्रेसले मेयर पाउँदा उपमेयर पद नेकपा एकीकृत समाजवादीको भागमा परेको छ । एमालेबाट सुनिता डंगोल उम्मेदवार छिन् भने सत्ता गठबन्धनबाट रामेश्वर श्रेष्ठ । विगतमा एमालेमै रहेका श्रेष्ठ पार्टी विभाजनपछि नेकपा एकीकृत समाजवादीमा लागे । अहिले गठबन्धन समेतको बलमा उम्मेदवार बनेका श्रेष्ठका चुनावी एजेण्डाबारे ईकान्तिपुरका जयसिंह महराले गरेको कुराकानी:
9,‘बुबाको प्रेरणाले राजनीतिमा आएको छु’– डा. रजिक आलम [भिडियो],Interview,"रौतहट — चिकित्सा शिक्षामा स्नातक (एमबीबीएस) सकेर भारतको नयाँदिल्लीमा काम गरिरहेका २७ वर्षीय मो. राजिक आलम रौतहटको राजपुर नगरपालिका प्रमुखमा उम्मेदवार बनेका छन् । कांग्रेसले बहालवाला मेयरलाई पन्छाएर राजिकलाई टिकट दिएको छ तर उनको परिचय यतिमा सीमित छैन । उनी २०६४ को संविधानसभा निर्वाचनको पूर्वसन्ध्यामा बम बनाइरहेका बेला विस्फोट हुँदा घाइते भएकालाई इँटाभट्टामा हालेर ज्यान लिएको अभियोगमा पुर्पक्षका लागि नख्खु कारागारमा रहेका सांसद मो. अफताब आलमका कान्छा छोरा हुन् । रजिक भन्छन्, ‘मेरो परिचयमा बुबालाई छुटाउन मिल्दैन । हजुरबुबादेखिको पारिवारिक विरासत थाम्न बुबाको पदचाप पछ्याउँदै राजनीतिमा आएको छु ।’ उनीसँगको कुराकानीको सम्पादित अंश :"
