,Title,Label,News
0,मासिक व्यापार घाटा १ खर्ब ४३ अर्ब,business,"काठमाडौँ — आयात नभई नहुनेदेखि स्वदेशमै पर्याप्त उत्पादन हुन सक्ने वस्तुको आयात बढ्दा व्यापार घाटा चुलिँदै गएको छ । चामल, मकै, तरकारी, दुग्धजन्य पदार्थ, माछामासुलगायत कृषिजन्य वस्तुमा समेत परनिर्भरता हुँदा मासिक व्यापार घाटा औसतमा १ खर्ब ४३ अर्ब पुगेको छ । भन्सार विभागको तथ्यांकअनुसार चालु आर्थिक वर्षको १० महिनामा मुलुकको व्यापार घाटा २४.९४ प्रतिशतले बढेर १४ खर्ब ३१ अर्ब ३० करोड रुपैयाँ पुगेको छ । जबकि गत वर्ष सोही अवधिमा व्यापार घाटा ११ खर्ब ४५ अर्ब ६३ करोड रुपैयाँ थियो । जानकारका अनुसार मुलुकभित्र गुणस्तरीय र प्रतिस्पर्धी वस्तु उत्पादन हुन नसक्दा आयात बढेको हो ।"
1,उपभोक्ता संरक्षण परिषद् सक्रिय बनाइँदै,business,"काठमाडौँ — उद्योग, वाणिज्य तथा आपूर्ति मन्त्री दिलेन्द्रप्रसाद बडूले उपभोक्ता संरक्षण परिषद् सक्रिय बनाउने बताएका छन् । उपभोक्ताको अधिकार संरक्षण, आपूर्ति व्यवस्था र वस्तु तथा सेवाको मूल्य तथा गुणस्तर निर्धारण सम्बन्धी विषयमा नीति बनाउने लगायतका महत्वपूर्ण काम, कर्तव्य र अधिकार यो परिषदमा निहीत रहन्छ । परिषद्को अध्यक्षमा उद्योग, वाणिज्य तथा आपूर्ति मन्त्री रहन्छन् । मन्त्री बडूको निर्देशनमा बुधबार परिषद् बैठक बसेको हो । सो बैठकमा परिषद् अध्यक्ष समेत रहेका मन्त्री बडूले उपभोक्ताको अधिकार संरक्षणका लागि ऐन, नियम, नीतिमा संशोधन, परिमार्जन वा नयाँ बनाउनुपर्ने भए सो सम्बन्धी व्यवस्था गरी परिषद्लाई क्रियाशील बनाउने प्रबन्धका लागि मातहतका निकायलाई निर्देशन दिए ।"
2,सेयर बजारका सबै सूचक बढे,business,"काठमाडौँ — बुधबार सेयर बजारका सबै सूचक बढेका छन् । कारोबार रकममा सुधार नभए पनि परिसूचक नेप्से १४.३७ अंक बढेको छ । सो अंकको वृद्धिपछि नेप्से २२३१ अंकमा कायम भएको छ । दिनभर १ अर्ब ४ करोड रुपैयाँको सेयर कारोबार भएको छ । सबै उपसमूहका सूचक बढे । बैंकिङ ८, विकास बैंक २५, फाइनान्स ९, जलविद्युत् ३०, जीवन बीमा ६६, उत्पादन ३०, लघुवित्त २९, निर्जीवन बीमा १३४, अन्य ८ र ब्यापार उपसमूह २९ अंकले बढे । होटल तथा पर्यटन र लगानी उपसमूहको वृद्धि भने १ अंकमुनि सीमित रह्यो । कुल १४८ कम्पनीको मूल्य बढ्दा ३९ को घट्यो, ५ को स्थिर रह्यो ।"
3,भारतद्वारा चिनी निर्यातमा पनि रोक,business,"काठमाडौँ — छिमेकी मुलुक भारतले गहुँपछि चिनी निर्यातमा रोक लगाएको छ । भारत सरकारले जुन १ देखि लागू हुनेगरी अक्टोबर ३१ सम्म चिनी निर्यातमा रोक लगाएको भारतीय सञ्चारमाध्यमले जनाएका छन् । उखुको अफसिजन भएकाले भारतमै चिनीको मूल्य बढ्न थालेपछि नियन्त्रणका लागि भन्दै  केही महिना निर्यातमा राेक लगाएको हो । भारत ब्राजिलपछि विश्वमा धेरै चिनी निर्यात गर्ने मुलुक हो । भारतबाट बंगलादेश, इन्डोनेसिया, मलेसियामा सबैभन्दा धेरै चिनी निर्यात हुने गरेको छ । साथै भारतको यो निर्णयले नेपालमा समेत असर पर्नेछ । नेपालमा स्वदेशी उत्पादनले मात्रै चिनीको माग धान्न सक्दैन । यसले कालोबजारी बढ्न सक्ने जोखिम हुन्छ ।"
4,राष्ट्र बैंकको सञ्चालकमा सिवाकोटी र आचार्य नियुक्त,business,काठमाडौँ — सरकारले नेपाल राष्ट्र बैंकको सञ्चालक सदस्यहरुमा चिन्तामणी सिवाकोटी र शंकर आचार्यलाई नियुक्त गरेको छ । जेठ ६ गतेको मन्त्रिपरिषद् बैठकले सो निर्णय गरी मंगलबार मात्रै माइन्युट गरेको एक मन्त्रीले जानकारी दिइन् । सरकारले सिवाकोटी र आचार्यलाई आगामी पाँच वर्षका लागि राष्ट्र बैंकको सञ्चालकमा नियुक्त गर्ने निर्णय गरेको हो । गत वैशाख ३ देखि राष्ट्र बैंकका पूर्वसञ्चालक द्वय श्रीराम पौडेल र रामजी रेग्मीको पाँच वर्षे कार्यकाल सकिएको थियो । त्यसयता राष्ट्र बैंकका दुई सञ्चालक पद खाली थियो । सरकारले तत्काल सञ्चालक नियुक्तिको प्रक्रिया अघि बढाए पनि स्थानीय निर्वाचनको कारण निर्वाचन आयोगले स्वीकृति दिएको थिएन । आयोगबाट स्वीकृति आएपछि सरकारले सञ्चालक नियुक्तिको निर्णय गरेको हो । सिवाकोटी राष्ट्र बैंकका पूर्व डेपुटी गभर्नर र आचार्य पूर्वकार्यकारी निर्देशक हुन् ।
5,चुनावपछिको एक सातामा ७ अर्ब निक्षेप थपियो,business,काठमाडौँ — स्थानीय तहको चुनावपछिको एक सातामा वाणिज्य बैंकहरुमा ७ अर्ब रुपैयाँ निक्षेप थपिएको छ । नेपाल बैंकर्स एसोसिएसनका अनुसार वैशाख ३० देखि जेठ ६ गतेसम्मको अवधिमा ७ अर्ब निक्षेप थपिएको हो । वैशाख ३० गतेसम्म २७ बैंकमा कुल ४३ खर्ब ७० अर्ब रुपैयाँ निक्षेप रहेकोमा जेठ ६ गतेसम्म आउँदा ४३ खर्ब ७७ अर्ब पुगेको छ । त्यस्तै सो एक साताको अवधिमा कर्जा रकम भने ३ अर्ब बढेको छ । वैशाख ३० गतेसम्म कुल ४१ खर्ब ९१ अर्ब रुपैयाँ कर्जा प्रवाह भएकोमा जेठ ६ गतेसम्म ४१ खर्ब ९४ अर्ब रुपैयाँ पुगेको छ । पछिल्लो एक साता निक्षेप सुधार देखिए पनि वैशाख लागेयताकै तुलना गर्ने हो भने निक्षेप घटेको छ । चैत मसान्तसम्मको तुलनामा जेठ ६ गतेसम्म १२ अर्ब निक्षेप घटेको छ । चैत मसान्तसम्म यी बैंकमा कुल ४३ खर्ब ८९ अर्ब निक्षेप रहेको थियो । कर्जा प्रवाह पनि सो अवधिमा ३ अर्ब घटेको छ । चैत मसान्तसम्म ४१ खर्ब ९७ अर्ब कर्जा प्रवाह भएको थियो । बैंकहरुको कर्जा निक्षेप अनुपात (सीडी रेसियो) हाल औसत ९०.३१ प्रतिशत छ । १८ बैंकको सीडी रेसियो ९० प्रतिशतभन्दा माथि छ । यी बैंकलाई आगामी असार मसान्तसम्म ९० प्रतिशतभन्दा कममा झानुपर्ने बाध्यता छ ।
6,आयातमा १० महिनामै बाहिरियो १६ खर्ब ४ अर्ब,business,काठमाडौँ — मुलुकको वस्तु आयातमा चालु आर्थिक वर्षको साउनदेखि वैशाख मसान्तसम्मको १० महिने अवधिमा १६ खर्ब ४ अर्ब रुपैयाँ बाहिरिएको छ । भन्सार विभागले हालै सार्वजनिक गरेकाे तथ्यांकअनुसार १० महिनामा सो रकमको वस्तु आयात भएको हो । सो रकम गत आर्थिक वर्षको यसै अवधिको तुलनामा करिब २७.९५ प्रतिशत बढी हो । यस अवधिमा मुलुकले भने वस्तु निर्यातबापत १ खर्ब ७३ अर्ब रुपैयाँ आर्जन गरेको छ । निर्यात गत वर्षको सोही अवधिको तुलनामा ५९ प्रतिशत बढी हो । प्रतिशतका आधारमा निर्यातको वृद्धिदर धेरै देखिए पनि रकमका आधारमा निर्यातको हिस्सा सानो भएकाले यसले ब्यापार घाटालाई राहत दिन सकेको छैन । १० महिनामा मुलुकको ब्यापार घाटा १४ खर्ब ३१ अर्ब रुपैयाँ छ । यो घाटा गत वर्षको यसै अवधिको तुलनामा २४.९ प्रतिशत बढी हो । कुल ब्यापारमा नेपालको निर्यात अंश जम्मा ९.७५ प्रतिशत मात्रै छ ।
7,श्रममा पुरानै नीतिको निरन्तरता,business,"काठमाडौँ — सरकारले श्रम बजारको सुधारका लागि पुरानै नीतिलाई निरन्तरता दिएको छ । तर श्रम र श्रम बजारलाई सम्मान र मर्यादित बनाउने सरकारले नयाँ नीति लिएको देखिँदैन । ‘श्रमको सम्मान र मर्यादित श्रमसहितको श्रमिकको हकअधिकार सुनिश्चित गरिनेछ । नेपाली श्रमशक्तिलाई स्वदेशमै रोजगारीका अवसर उपलब्ध गराउने नीति लिइनेछ । सार्वजनिक र अन्य क्षेत्रका कार्यक्रममा रोजगारी सिर्जना गर्न प्रेरित गरिनेछ,’ राष्ट्रपति विद्यादेवी भण्डारीले मंगलबार संसद्मा प्रस्तुत गरेको नीति तथा कार्यक्रममा भनिएको छ, ‘सार्वजनिक, निजी र सहकारी क्षेत्रमा उपलब्ध रोजगारीका अवसरसम्बन्धी एकीकृत सूचना प्रणालीको विकास गरी सीप तथा रोजगारी ई–डाइरेक्टरी तयार गरिनेछ ।’"
8,सिफारिस नभएका आयोजनालाई छैन बजेट,business,"काठमाडौँ — पूर्वतयारी नभएका, आयोजना बैंकमा प्रविष्ट भए पनि राष्ट्रिय योजना आयोगबाट सिफारिस नभएका आयोजनामा बजेट विनियोजन नगरिने भएको छ । तीन तहको बजेट कार्यान्वयनमा वित्तीय अनुशासन कायम गर्न यस्तो गरिएको राष्ट्रपति विद्यादेवी भण्डारीको भनाइ छ । सरकारको वार्षिक नीति तथा कार्यक्रम संसद्मा प्रस्तुत गर्दै ठूला र रणनीतिक महत्त्वका पूर्वाधार निर्माण तथा औद्योगिक विकासका लागि सार्वजनिक निजी साझेदारीमा संयुक्त लगानी र निर्माण ढाँचा कार्यान्वयनमा ल्याइने उनले बताइन् । पुँजीगत खर्च वृद्धि गर्न र विकास आयोजना कार्यान्वयनलाई सहजीकरण गर्न नतिजामा आधारित आयोजना व्यवस्थापन प्रणालीसहितको विकाससम्बन्धी छुट्टै कानुन तर्जुमा गरिने भएको छ ।"
9,घरजग्गा कारोबार कम्पनीबाट मात्रै,business,"काठमाडौँ — देशभर अधिकतम घरजग्गा कारोबार दलालमार्फत मात्र भइरहँदा सरकारले अब विशिष्टीकृत संस्था (कम्पनी) बाट मात्रै कारोबार गर्न पाउने व्यवस्था गर्ने जनाएको छ । राष्ट्रपति विद्यादेवी भण्डारीले आर्थिक वर्ष ०७९/८० को नीति तथा कार्यक्रम प्रस्तुत गर्दै घरजग्गा कारोबार व्यवस्थित गर्ने प्रतिबद्धता जनाइन् । पछिल्लो समय अस्वाभाविक रूपमा डाँडापाखा सम्याउने र खेतीयोग्य जमिनमा प्लटिङ गरेर जग्गा बिक्री गरी मूल्य बढाइने गरेको छ । शिक्षक, कर्मचारीलगायत सबैले ‘पार्ट टाइम’ जागिरका रूपमा घरजग्गा कारोबार गरिरहेको आरोप लाग्ने गरेको छ । कम समयमा धेरै नाफा कमाउने उद्देश्यले जोकोही पनि घरजग्गा कारोबारमा संलग्न हुन थालेको मालपोतका कर्मचारी बताउँछन् ।"
