,Title,Label,News
0,वीरगन्ज नाकामा फागुनयता कोरोना संक्रमित भेटिएनन्,health,पर्सा — वीरगन्जस्थित नेपाल-भारत सीमामा यस वर्ष एक जना पनि कोरोना संक्रमित फेला परेका छैनन् । भारतको राजधानी नयाँदिल्लीमा २ महिनाअघि कोरोनाको चौथो लहरको संकेत देखिएसँगै यहाँस्थित सीमामा रहेको हेल्थ डेस्कमा सतर्कता अपनाउन सुरु गरिएको थियो । डेस्ककी प्रमुख डा अनिशा महतोका अनुसार डेस्कमा फागुनदेखि हालसम्म भारतबाट नेपाल प्रवेश गर्नेहरुमध्ये एक जनामा पनि कोरोना संक्रमण पुष्टि भएको छैन । २ महिनायता भारतबाट नेपाल प्रवेश गर्नेमध्ये दैनिक २ सय देखि २ सय २५ जनासम्मको एन्टीजेन परीक्षण गर्ने गरिएकोमा एक जनामा पनि कोरोना संक्रमण पुष्टि भएको पाइएको छैन ।
1,राष्ट्रिय प्रत्यारोपण केन्द्रद्वारा मनाङमा ७ सय जनाको स्वास्थ्य परीक्षण,health,"काठमाडौँ — शहीद धर्मभक्त राष्ट्रिय प्रत्यारोपण केन्द्रले मनाङमा बृहत् स्वास्थ्य शिविर सञ्चालन गरेको छ । उक्त शिविरबाट अति दुर्गम भेगका करिब ७ सय  सेवाग्राही लाभान्वित भएका छन् । मुलुकको ७ वटै प्रदेशमा निःशुल्क स्वास्थ्य शिविर तथा अंगदान कार्यक्रम सञ्चालन गर्ने केन्द्रको योजना अनुरुप मनाङमा बृहत् स्वास्थ्य शिविर आयोजना गरिएको हो । राष्ट्रिय प्रत्यारोपण केन्द्रले मनाङको जिल्ला अस्पताल चामे, हुण्डी स्वास्थ्य चौकी र ठोचे हेल्थपोस्टमा स्थानीय ३ पालिकाको सहकार्यमा जेठ १४ र १५ गते निःशुल्क मिर्गौला, मूत्र रोग, मुटु, कलेजो, र दन्त सेवा सम्मिलित स्वास्थ्य शिविर आयोजना गरेको हो ।"
2,सिभिल अस्पतालमा शय्या थपिने,health,काठमाडौँ — सिभिल अस्पतालले शय्या थप्ने तयारी गरेको छ । हाल अस्पतालमा १३२ शय्या सञ्चालनमा रहेका छन् । अस्पतालका निर्देशक डा विधाननिधि पौडेलले अबको ४ वर्षभित्रमा ४०० बेडसम्म पुर्‍याउने लक्ष्य रहेको बताए । उनले भवनको क्षमता बढाउनका लागि दुई चरणको गुरुयोजना बनिसकेको जानकारी गराए । अस्पतालले मंगलबार गरेको पत्रकार सम्मलेनमा निर्देशक पौडेलले अस्पतालको प्रगति विवरण सुनाएका थिए । उनले छिट्टै नै अस्पतालमा मोडुलर आइसीयू सञ्चालनमा ल्याइने जनाए । हाल ठूला निजी अस्पतालमा मात्र सञ्चालनमा आएको यस्ता आइसीयूमा नेगेटिभ प्रेसर रुम हुने गरेका छन् जसले संक्रमण फैलिनबाट जोगाउँछ ।
3,सुर्तीजन्य पदार्थ सेवनले ९० प्रतिशत फोक्सोको क्यान्सर,health,"काठमाडौँ — ‘सुर्तीजन्य पदार्थ त्यागौँ, स्वास्थ्य र वातावरण जोगाऔँ’ भन्ने नाराका साथ आज (मंगलबार) देशभर विश्व सूर्तीजन्य पदार्थरहित दिवस मनाइँदैछ । सुर्तीजन्य पदार्थ सेवनका कारण निस्कने हरितगृह ग्यासले वायु प्रदूषण गराउनाले आफ्नो स्वास्थ्य र वातावरण सुरक्षित राख्न धुम्रपान त्याग्नुपर्ने चिकित्सकहरु बताउँछन् । वीर अस्पतालकी क्यान्सर रोग विशेषज्ञ डा सन्ध्या चापागाईंका अनुसार सुर्तीजन्य पदार्थ सेवन नगरे ९० प्रतिशत फोक्सोको क्यान्सरबाट बच्न सकिन्छ । उनले चुरोटमा ६०० प्रकारका तत्वहरु हुने र सेवन गर्दा ७ हजार प्रकारका रसायनहरु जल्ने र ती निकै हानिकारिक हुने बताइन् । ‘ती रसायनमध्ये ६९ वटा रसायनले क्यान्सर गराउन सक्छन् जुन एकदमै विषाक्त हुने गरेका छन् । यस्ता विषालु रसायनहरु मुसा मार्न प्रयोग गरिने औषधिमा पनि पाइन्छन्,’ उनले भनिन् ।"
4,मंकीपक्सबारे जान्न पर्ने तथ्य,health,"विश्वका १२ युरोपेली देशमा ९२ जनामा पुष्टि भइसकेको मंकीपक्स रोग चासोको विषय बनेको छ । कोभिडले आक्रन्त पारेको विश्वलाई मंकीपक्स फेरि एक चुनौती बन्ने हो कि भन्ने डर हामी सबैमा रहेको छ। यो रोग बिफर रोग लाग्ने प्रजातिको भाइरसद्वारा श्वासप्रश्वास, घाउचोट लागेका ठाउँ, थुकको माध्यमबाट आँखा, मुख र नाकबाट सर्न सक्छ । त्यस्तैगरी समलैंगिक यौन सम्पर्कबाट पनि यो सरिरहेको पाइएको छ ।"
5,स्वास्थ्य सेवा प्रवाह र पूर्वाधारमा जोड,health,"काठमाडौँ — पूर्वाधारमा प्राथमिकता दिँदै स्वास्थ्य क्षेत्रका लागि सरकारले १ खर्ब ३ अर्ब १८ करोड बजेट छुट्याएको छ । अर्थमन्त्री जनार्दन शर्माले बजेट प्रस्तुत गर्दै स्वास्थ्य तथा जनसंख्या मन्त्रालयका लागि ६९ अर्ब ३८ करोड, प्रदेशमा ६ अर्ब ३६ करोड र स्थानीय तहमा २७ अर्ब ४४ करोड रुपैयाँ विनियोजन गरेको बताए । जुन गत वर्षभन्दा कम हो । कोरोना महामारीका कारण गत वर्षको बजेट कोरोनाकेन्द्रित थियो । सरकारले कोरोना रोकथामलगायत स्वास्थ्य पूर्वाधारलाई महत्त्व दिँदै कुल बजेटको ७.४५ प्रतिशत छुट्याएको थियो । मन्त्री शर्माले कोभिड महामारीबाट सिकेको अनुभवका आधारमा भावी दिनमा यस्ता महामारीको सहज व्यवस्थापनका लागि सक्षम र प्रभावकारी स्वास्थ्य प्रणालीको विकास गरिने बताएका छन् ।"
6,२५ जिल्लाका सुत्केरीलाई पाँच हजार रुपैयाँ भत्ता,health,काठमाडौँ — सरकारले आगामी वर्षदेखि मानव विकास सूचकांकमा पछि परेका २५ जिल्लाका सुत्केरीलाई पाँच हजार रुपैयाँ सुत्केरी भत्ता दिने भएको छ । अर्थमन्त्री जनार्दन शर्माले आगामी आर्थिक वर्ष ०७९/८० को बजेट प्रस्तुत गर्दै २५ जिल्लाका सुत्केरीलाई पाँच हजार रुपैयाँ सुत्केरी भत्ता दिने घोषणा गरेका हुन् ।
7,थप २० वटा अस्पतालमा ज्येष्ठ नागरिक वार्ड स्थापना गरिने,health,काठमाडौँ — सरकारले थप २० वटा सरकारी अस्पतालमा ज्येष्ठ नागरिक वार्ड स्थापना गर्ने भएको छ । आइतबार अर्थमन्त्री जनार्दन शर्माले आर्थिक वर्ष २०७९/८० का लागि बजेट घोषणा गर्दै वार्ड थपिने बताएका हुन् । साथै ६५५ स्थानीय तहमा निर्मााणधीन आधारभूत अस्पताल सम्पन्न गर्नका लागि १० अर्ब रुपैयाँ बजेट विनियोजन गरेको उनले बताए ।
8,‘मंकीपक्स’ मा सतर्कता जरुरी,health,"काठमाडौँ — बीसभन्दा बढी मुलुकमा देखिएको ‘मंकीपक्स’ रोगबाट नेपाल पनि जोखिममा परेको छ । विश्वको कुनै एक भागमा संक्रमण फैलिएपछि हजारौं किलोमिटर टाढा रहेका मुलुकसमेत जोखिममा रहने र संक्रमण विस्तार हुन सक्ने भएकाले सचेत रहन विज्ञहरूले आग्रह गरेका छन् । नेपालमा यो भाइरस हालसम्म देखिएको छैन । स्वास्थ्य सेवा विभाग इपिडिमियोलोजी तथा रोग नियन्त्रण महाशाखा (ईडीसीडी) का निर्देशक डा. चुमनलाल दासले मंकीपक्सको शंकास्पद केस नेपालमा पत्ता नलागे पनि निरन्तर निगरानी गरिरहेका जानकारी दिए । ‘धेरै डराउनु पर्दैन तर सबै सचेत हुन आवश्यक छ,’ उनले भने । विश्व स्वास्थ्य संगठन (डब्लूएचओ) को सल्लाह र जानकारीका आधारमा सम्भावित संक्रमणविरुद्घको रणनीति बनाइरहेको पनि उनले बताए । स्वास्थ्य मन्त्रालयले कुनै व्यक्तिलाई ज्वरो आएको एकदेखि तीन दिनभित्र अनुहार, हत्केला र पैतालामा दाग वा डाबर देखिए हटलाइन १११५ मा जानकारी गराउन आग्रह गरेको छ ।"
9,मंकीपक्स रोगप्रति सचेत रहन मन्त्रालयको आग्रह,health,"काठमाडौँ — विश्वका धेरै मुलुकमा देखापरेको मंकीपक्स रोग नेपाल पनि जोखिममा रहेको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयका सहप्रवक्ता डा समिरकुमार अधिकारीले नेपालमा जोखिम भए पनि अहिलेसम्म मंकीपक्सका संक्रमित फेला नपरेको बताए । उनले नेपालमा संक्रमण नदेखिए पनि  सचेत हुनुपर्ने बताउनुभयो । यो रोग भाइरसबाट सर्ने एक किसिमको सरुवा रोग हो । संक्रमित व्यक्ति वा पशुसँग नजिकको सम्र्पकमा आउँदा तिनीका र्‍याल, घाउ, खटिरा, शरिरबाट निस्कने तरल पदार्थ र दूषित सतह र सामग्रीबाट सर्ने गर्दछ । यस्तै श्वासनली, आँखा, नाक वा मुख काटिएको, टोकिएको वा फुटेको छालाजस्ता अंगबाट भाइरस शरिरमा प्रवेश गरेर पनि सर्ने गर्दछ । बाँदर, मुसा, लोखर्केलगायत जनावर, भाइरस रहेको ओछ्यान र लुगाबाट पनि यो भाइरस सर्ने गर्दछ ।"
