,Title,Label,News
0,चिनियाँ नाकाको सकस,koseli,"सीमा क्षेत्रमा चीनले तीव्र विकास गरेको छ । विकासकै कारण हिमाली क्षेत्रका बासिन्दा रोजगारीका लागि चीनकै भर पर्थे । सीमापारि गएर मजदुरी र व्यापार व्यवसाय सिर्जना गर्ने क्रम बढको थियो । तर, २०१९ को कोभिडपछि उत्तरी नाका बन्द हुँदा हिमाली नेपालीको दैनिकी अस्तव्यस्त छ । अझै नाका खुल्न सकेका छैनन् । त्यसको प्रत्यक्ष असर हिमाली क्षेत्रका समुदायलाई परेको छ । भौगोलिक विकटता, पूर्वाधारबाट बन्चित, नेपालतिरबाट सडक सञ्जाल नहुँदा दैनिक जीवनयापनमा ठूलो संकट देखापरेको छ । नेपालको उत्तरी सीमामा पर्ने चीन विश्वको दोस्रो उदयमान शक्ति देश पनि हो । हिमालय शृंखला, भञ्ज्याङ, देउराली, हिमचुचुरो, कठिन भौगोलिक बनावटले दुई देशलाई छुट्याएको छ । नेपाल–चीनबीच ७९ मुख्य र २० सहायक सीमास्तम्भ छन् । नेपाल–चीन नाका रसुवागढी, रसुवा–केरुङ (ग्याइरोङ) काउन्टी, तातोपानी (कोदारी) सिन्धुपाल्चोक–झाङ्मु काउन्टी, हिल्सा, हुम्ला–बुराङ, बुराङ काउन्टी, (कोरला) लो मान्थाङ, मुस्ताङ–"
1,‘अब हिमाललाई आराम दिऊँ’,koseli,"नाम्चेको ‘निर्वाणा होम’ मा छन् कान्छा शेर्पा (९०) । सगरमाथामा पहिलो पटक आरोहण गर्ने दलका एक मात्र जीवित साक्षी उनी माला जप्दै र विश्वशान्तिको कामना गर्दै दिन बताउँछन् । पुराना दिनतिर फर्किहेर्छन्, आफैं अचम्भित हुन्छन्– त्यो समय सगरमाथा आरोहण कसरी सम्भव भयो ! वैशाख दोस्रो साता नाम्चे पुग्दा उनले भने, ‘त्यो बेला कसरी बाटो बनाइयो, कसरी गइयो, चुचुरो जाने बाटो कसरी थाहा भयो, सम्झेरै रमाइलो लाग्छ ।’ तेन्जिङ नोर्गे शेर्पा, एडमन्ड हिलारी सगरमाथाको चुचुरोमा पहिलो पटक पुगेका थिए–२९ मे, १९५३ मा । हिलारी–तेन्जिङको त्यो यात्रामा कान्छासहित अन्य दुई जना शेर्पाले बेस क्याम्पदेखि क्याम्प–४ सम्म निर्माण गरिदिएका थिए । २७ हजार फिटसम्म उनीहरू सँगै थिए । त्योभन्दा माथिचाहिँ तेन्जिङ र हिलारी सँगै गएको सम्झन्छन् कान्छा ।"
2,‘थुप्रै छन् बेनामे हिमाल’,koseli,"१ सय ७० वर्षअघि ब्रिटिस सर्भे अफ इन्डियाअन्तर्गतको सर्भे विभागले सगरमाथालाई विश्वकै अग्लो चुचुरो भएको तथ्य सार्वजनिक गरेको थियो । त्यसपछिका दर्जन हाराहारी सर्भे तथा अनुसन्धानमा सगरमाथाको उचाइबारे फरक–फरक मापन निस्किए । नेपाल–चीन सिमानामा पर्ने सगरमाथा उचाइको अंकमाथि लामो समयसम्म यी दुवै देशको एकमत थिएन । सगरमाथाको उचाइ–विवाद ०७२ को भूकम्पपछि झनै गहिरियो । भूकम्पले काठमाडौंसहितका केही भू–भागको धरातल उठेको, भास्सिएको वा सरेको हुन सक्ने अड्कलबाजी हल गर्न नेपाल सरकारले ०७४ मा कम्तीमा १७ करोड रूपैयाँ बजेट विनियोजन गर्दै नेपाली सर्भेयरबाटै पहिलोपटक सगरमाथा–उचाइ मापन गर्‍यो ।"
3,गणतन्त्र : ‘नेपाली राजनीतिक चेतनाको प्रतिविम्बन’,koseli,"नेपाली राजनीतिका पछिल्ला दुई दशक बडो विस्मयकारी रहे । मुलुकको शक्ति संरचना र राज्य संरचना दुवैमा व्यापक उलटपुलट भयो । सुरुमा दरबार हत्याकाण्डपछि गद्दीनसीन हुन पुगेका राजा ज्ञानेन्द्रले ‘सत्र साल’ ब्युँताए । अनि, उक्त शाही कदममार्फत भित्तामा पुर्‍याइएका संसद्वादी राजनीतिक दल र द्वन्द्वरत माओवादी १२ बुँदे सम्झौता गर्न पुगे, जसको प्रकाशमा देशभर दसौं लाख मानिस सडकमा ओर्लिएर मुलुकको राजनीतिक पथमा दोस्रो जनआन्दोलन नामक विशाल कोसेढुंगा गाडे । सोही जनउभारको बलमा शाही सरकार मात्र ढलेन, अढाई सय वर्ष पुरानो राजसंस्था पनि इतिहासका पानामा कैद बन्न पुग्यो । त्यसबीचमा माओवादी शान्ति प्रक्रियामार्फत मूलधारको राजनीतिमा आयो; देशमा संविधानसभाका दुइटा चुनाव भए । आफ्नो संविधान आफैं लेख्ने नेपाली जनताको सात दशकदेखिको सपना पूरा भयो । र, आज गणतान्त्रिक नेपालको संविधान पौने सात वर्षको भइसकेको छ । कैयौं विशिष्ट परिवर्तनलाई संस्थागत गरेको यसै संविधानबारे प्राध्यापक कृष्ण खनालले लेखेको पुस्तक ‘गणतान्त्रिक नेपालको संविधान : निर्माण प्रक्रिया, पात्र र अन्तर्वस्तु’ हालै बजारमा आएको छ, जसले संविधानलाई मियोमा राखेर यस कालखण्डको रोचक कथा भन्छ ।"
4,काठमाडौंको ‘कोर’ कथा,koseli,"यो स्थानीय निर्वाचनमा काठमाडौं महानगरपालिकामा निकै बोलिएको–सुनिएको शब्द हो– कोर–सिटी । मतगणनाको सुरुवात जुन लयमा अघि बढिरहेको थियो, ‘कोर सिटी’ मा पुगेपछि त्यो खलबलिनेछ भन्ने थुप्रैको अनुमानपश्चात् सोधखोज हुन थालेको थियो– आखिर यो ‘कोर सिटी’ के हो ? सम्बोधनबाटै बुझिन्छ, यो काठमाडौंको सबैभन्दा भित्री क्षेत्र हो । क्षेत्रफल नाप्ने हो भने यो अत्यन्तै सानो एक टुक्रा भूमि मात्रै हो । काठमाडौं महानगरपालिकामा हाल भित्री क्षेत्रमा पर्ने ११ वटा वडालाई ‘कोर सिटी’ भनेर बुझ्ने गरिन्छ (वडा नं. १२, १७, १८, १९, २०, २१, २२, २३, २४, २५ र २७) । आकारमा यी वडा यति साना छन् कि यी सबै जोड्दा पनि कुल क्षेत्रफल २.५२ वर्ग किलोमिटर मात्रै हुन आउँछ (स्थानीय जनप्रतिनिधि २०७४, मदरल्यान्ड पब्लिकेसन प्रालि) । यो कुल क्षेत्रफलै पनि अत्यन्त सानो हो, कति सानोभन्दा काठमाडौंको यही महानगरपालिकाभित्र ११ वडाको कुल क्षेत्रफलभन्दा ठूलो आकारका अर्को ६ वटा सिङ्गो वडा छन् ।"
5,सञ्जालको द्रव्य-दुनियाँ,koseli,"भर्खरैको स्थानीय तह निर्वाचनमा राजनीतिक दल र उम्मेदवारहरूले विभिन्न सामाजिक सञ्जालबाट प्रशस्त मात्रामा प्रचार गरे । यसपालि पर्चा, पम्लेट, पोस्टर र ब्यानरहरू घरका भित्ता होइन सामाजिक सञ्जालका भित्तामा छाए । धेरैले आफ्ना भिडियो सन्देशलाई पनि सामाजिक सञ्जालमार्फत मतदाता तथा शुभेच्छुककहाँ पुर्‍याए । "
6,१०१ वर्षअघिको त्यो आरोहण,koseli,"काठमाडौँ — सन् १९५३ मे २९ मा तेन्जिङ नोर्गे शेर्पा र एडमन्ड हिलारी सगरमाथा चुचुरोमा पुगे । उनीहरुअघि सर्वोच्च शिखरमा कोही पुगेका थिए कि थिएनन् ? यो प्रश्नको जवाफ बेलायती नागरिक जर्ज मेलोरीसँग हुन सक्थ्यो । किनकि त्यसको २९ वर्षअघि उनी सगरमाथाको हिउँमा हराइसकेका थिए । उनको अपुरो सगरमाथा–कथामा मन्थन गरौं: २९ मे, १९५३– तेन्जिग नोर्गे शेर्पा र एडमन्ड हिलारी सगरमाथाको चुचुरोमा सर्वप्रथम पुगेका थिए । तर, नेपालमा कसैलाई यसको सुइँकोसम्म पनि दिइएन । सगरमाथा नेपालको चढिए पनि यसबारे पहिलो जानकारी बेलायतबाट जारी गरियो । २९ मे को उक्त घटना केही दिन गोप्य राखेर २ जुन, १९५३ का दिन महारानी एलिजाबेथ द्वितीयको राज्याभिषेक–अवसरमा त्यो खबर प्रकाशित–प्रसारित गरियो । नेपालमा भने बेलायतमा बासी भइसकेको उक्त खबर ‘गोरखापत्र’ मा भोलिपल्ट अर्थात् जुन ३ मा प्रकाशित गरियो । गोरखापत्रमा तेन्जिङलाई ‘तेनसिंह’ लेखिएको छ, त्यस्तै एडमन्ड हिलारीलाई ‘एसपी हिल्यारी’ । उतिबेला संसारलाई नै रोमाञ्चित बनाएको उक्त घटना आज ६९ वर्ष पुरानो भइसक्यो, तर सगरमाथा आरोहणको कथा आरम्भ भएको भने १०१ वर्ष पूरा भएको छ ।"
7,"खोलाको किनारामा, राज्यको किनारामा",koseli,"चाहे व्यक्ति होस् या समुदाय सबैका आ–आफ्नै कथा छन् । माया, प्रेम, सद्भाव र अभावका कथा छन् । बादी समुदायको भोगाइ पनि आफैंमा एउटा कहालीलाग्दो कथा हो, जसमा अभावै अभाव छ अनि छ— जमिनको ब्यथा । अन्धकार भविष्य र पिल्सिएको एक मुठी सासभन्दा बाँकी केही छैन त्यहाँ । मान्छेहरू जस्ता देखिने यी ‘अमान्छे’ हरू इतिहासदेखि नै एकाधबाहेक अधिकांश खोला किनारमा घर बनाई बसेका छन् । जीविका धान्नका लागि बालुवा चाल्न वा माछा मार्न सहज होस् भनेर ‘अमान्छे’ हरू खोला किनारामा बसेका होलान् भनी अन्दाज लगाउनुभो भने तपाईंको अन्दाज स्वाभाविक छ, तर वास्तविकता यस्तो छैन, निकै तीतो छ । जात व्यवस्थामा आधारित समाजको पीँधमा रहेका बादी समुदाय सदियौंदेखि बहिष्करणको दलनमा भासिन बाध्य भए । बहिष्करणको कुनै हद थिएन ।"
8,"एक क्रान्तिकारी, एक लिजेन्ड",koseli,काठमाडौँ — राजनीतिक विषयमा बनेका सिनेमाहरूमा तथ्य र कलाको संयोजन भए ती निकै प्रभावशाली हुन्छन् । केही महिनाअघि युट्युबमा मैले चिनियाँ सिनेमाहरू हेरेँ । त्यसमध्ये केही सिनेमा माओ त्से तुङ र चिनियाँ क्रान्तिसम्बन्धी थिए । 
9,"मेरो एकल गायन, मेरो एकल श्रोता",koseli,"काठमाडौँ — बानेश्वर जाने उकालोको देब्रेतिर उपेक्षित रूपमा रहेको एउटा सानो ढिस्के डाँडो... ! उजाड... नीरस... लावारिस... ! के उदेक भयो कुन्नि, एक्कासि युवायुवतीहरूको चहलपहल देखिन थाल्यो त्यहाँ ! रमाइलो थियो वातावरण ! नाटकघरहरू तयार हुँदै थिए- एउटा अलि ठूलो, अर्को अलि सानो, अझै अलि पर अन्य कार्यक्रमहरूका लागि मजाको एउटा अर्को हल पनि । ल एउटा रमाइलो गाउँ नै तयार भयो ! कतै कविता गोष्ठी, कतै नाटक, कतै सांगीतिक कार्यक्रम । उत्सुक दर्शक, कलाकारहरूको रमाइलो उपस्थिति ! होडिङबोर्ड, फ्लेक्स, पोस्टर र अन्य रंगीन कलाकृतिहरूद्वारा सजाइएको गुल्जार र रंगीन वातावरण ! सुनीलको सपनाको साकार रूप गुरुकुल डाँडो । तल सडकमा टेम्पो, माइक्रोबसका ड्राइभर र खलाँसीहरू गाडी रोकेर यात्रुहरूतिर हेर्दै कराउँथे, ‘कोइ छ गुरुकुलमा झर्ने... ?’"
