,Title,Label,News
0,अष्टभुजाकार कृष्ण मन्दिरको जीर्णोद्धार,national,"काठमाडौँ — अमेरिकी सरकारको सांस्कृतिक संरक्षणसम्बन्धी राजदूत कोष (एएफसीपी) कार्यक्रम अन्तर्गत पाटन दरबार क्षेत्रमा अवस्थित अष्टभुजाकार कृष्ण मन्दिरको जीर्णोद्धार सम्पन्न भएको छ । मन्दिरमा नेपालका लागि अमेरिकी राजदूत र्‍यान्डी बेरी, ललितपुर महानगरपालिकाका मेयर चिरिबाबु महर्जन, पर्यटन सचिव महेश्वर न्यौपानेलगायतले मन्दिरमा गएर फूलमाला चढाएका थिए । जीर्णोद्धारमा सहयोग गरेकोमा मेयर महर्जन र पर्यटन सचिव न्यौपानेले अमेरिकी सरकार र राजदूत बेरीलाई धन्यवाद दिए । त्यस अवसरमा बेरीले परियोजनालाई गरेको सहयोग गर्न पाउनु गर्वको विषय भएको बताए ।"
1,ठगीको आरोपपछि चाँगुनारायण ७ का नवनिर्वाचित वडाध्यक्ष श्रेष्ठ फरार,national,काठमाडौँ — ठगीको आरोप लागेपछि भक्तपुरको चाँगुनारायण नगरपालिका–७ का नवनिर्वाचित वडाध्यक्ष श्यामकृष्ण नायजु श्रेष्ठ फरार भएका छन् । भक्तपुरको सुडालस्थित सरकारी जग्गा र विभिन्न व्यक्तिको नाममा रहेको निजी जग्गासमेत जग्गाधनीको अनुमतिबिना बिक्रीका लागि बैना लिई ठगी गरेको अभियोग लागेपछि वडाध्यक्ष श्रेष्ठ फरार भएका हुन् । प्रहरीले उनको खोजी गरिरहेको छ । उपत्यका अपराध नियन्त्रण कार्यालय काठमाडौंले मालपोत कार्यालय भक्तपुरको ढोकाबाटै चाँगुनारायण–७ का ७२ वर्षीय केशवप्रसाद अधिकारी र भक्तपुर नगरपालिका–८ का ५८ वर्षीय ईश्वर गाइजुलाई सरकारी जग्गा र व्यक्तिको निजी जग्गा अनुमतिबिना बैना रकम लिई ठगी गरेको अभियोगमा शुक्रबार पक्राउ गरी थप कारबाहीका लागि जिल्ला प्रहरी परिसर भक्तपुरलाई बुझाएको थियो ।
2,ललितपुरमा घरदैलोमै पुगेर सुर्तीजन्य पदार्थ नखान जनचेतना कार्यक्रम गरिने,national,"काठमाडौँ — ललितपुर महानगरपालिकाले मंगलबारदेखि स्थानीयको घरदैलोमै पुगेर सुर्तीजन्य पदार्थ नखान सचेतना कार्यक्रम सञ्चालन हुने भएको छ । सोमबार राजधानीमा आयोजित एक कार्यक्रममा बोल्दै महानगरपालिकाका प्रमुख चिरीबाबु महर्जनले विश्व सुर्तीजन्य पदार्थरहित दिवसको अवसर पारेर सो अभियान सञ्चालन गरिने बताए । उनले कार्यक्रममा बोल्दै ललितपुरको पाटन, पुलचोक, लगनखेल, जावलाखेललाई ‘नो स्मोकिङ जोन’ घोषणा गरिसकेको बताउँदै नसर्ने रोगको प्रमुख कारकका रूपमा रहेको सुर्तीजन्य पदार्थको नियन्त्रणमा काम गर्नको लागि प्रतिबद्ध रहेको बताए ।"
3,काठमाडौंका मेयर साहको घोषणा- 'फोहोर व्यवस्थापन नभएसम्म खुसीयाली मनाउँदैनौं',national,काठमाडौँ — काठमाडौं महानगरपालिकाका नवनिर्वाचित मेयर बालेन्द्र साहले काठमाडौंको फोहोर व्यवस्थापन नभएसम्म जितको खुसीयाली नमनाउने घोषणा गरेका छन् । सोमबार महानगरपालिकाको मेयरको शपथपछि पदभार ग्रहण गर्दै उनले यस्तो बताएका हुन् । मेयर साहले काठमाडौंवासीले गरेको 'पाप'को भागिदार सिसडोवासी भइरहेको भन्दै उनीहरु स्वस्थ वातावरणमा बस्न पाउने व्यवस्था नभएसम्म सञ्चारमाध्यमहरुमा अन्तर्वार्ता र खुसीयाली नमनाउने घोषणा गरेका हुन् ।
4,"महाराजगन्ज क्याम्पसमा विद्यार्थीबीच कुटाकुट, दुई जना घाइते",national,काठमाडौँ — त्रिभुवन विश्वविद्यालय चिकित्सा शिक्षा अध्ययन संस्थानअन्तर्गत महारागगन्ज क्याम्पसमा अध्ययनरत विद्यार्थीको दुई टोलीबीच झडप भएको छ । शुक्रबार राति भएको झडपमा एमबीबीएस दोस्रो वर्षमा अध्ययनरत सागर खड्का र वीरेन्द्रजंग कुँवर घाइते भएका छन् । आफूहरूमाथि छात्रबासमै बस्ने अर्को सिनियर टोलीले कुटपिट गरेको उनीहरुको आरोप छ । घाइते कुँवरको त्रिवि शिक्षण अस्पतालको आकस्मिक कक्षमा उपचार भइरहेको छ । खड्काको टाउकोमा सामान्य चोट लागेको छ । कुँवरको पाखुरामा धारिलो वस्तुले प्रहार गरेको गहिरो चोट देखिन्छ ।
5,धम्क्याएर ७ करोड माग्ने ७ जना पक्राउ,national,काठमाडौँ — एक व्यवसायीलाई धम्क्याएर ७ करोड रुपैयाँ मागेको कसुरमा ७ जनालाई प्रहरीले पक्राउ गरेको छ । पक्राउ परेकामध्ये तीन जना पत्रकार रहेको खुलेको छ । ती व्यवसायीसँग मागेको रकम नदिए ‘जे पनि हुने’ भन्दै धम्की दिएर उनीहरुले एक महिनाअघिदेखि नै रकममा बार्गेनिङ गरिरहेका थिए । फोन र प्रत्यक्ष रुपमा भेटेर ‘मागेको रकम नदिए परिवार नै सिध्याइदिने’ सम्मका धम्की आएपछि ती व्यवसायीले काठमाडौं उपत्यका प्रहरी कार्यालयमा उजुरी दिएका थिए ।
6,सरकारी जग्गासमेत बैना गरी ठगी गर्ने दुई पक्राउ,national,काठमाडौँ — सरकारी जग्गासमेत बैना गरी ठगी गर्ने दुई जनालाई काठमाडौं उपत्यका अपराध अनुसन्धान कार्यालयको टोलीले पक्राउ गरेको छ । पक्राउ पर्नेहरुमा भक्तपुर चाँगुनारायण नगरपालिका ७ बागेश्वरीका ७२ वर्षीय केशव प्रसाद अधिकारी र भक्तपुर नगरपालिका ८ का ५८ वर्षीय ईश्वर गाईजु छन् । खोटाङ बुईपा ३ घर भई दिक्तेल रुपाकोट मझुवागढी बस्ने धनिराम राईको जाहेरीका आधारमा उनीहरुलाई पक्राउ गरेको काठमाडौं उपत्यका अपराध अनुसन्धान कार्यालयका प्रवक्ता एसपी कृष्णप्रसाद कोइरालाले बताए ।
7,लुँध्वाखा सर्वसाधारणका लागि खुला,national,काठमाडौँ — कोभिड-१९ महामारीमा बन्द भएको भक्तपुर श्री तलेजु भवानीको मूलढोका लुँध्वाखा (स्वर्णद्वार) सर्वसाधारणका लागि खुला गरिएको छ । कोभिड–१९ महामारी रोकथाम तथा नियन्त्रणका लागि भन्दै सरकारले लगाएको निषेधाज्ञासँगै बन्द भएको लुँध्वाखा झन्डै साढे २ वर्षपछि खुला गरिएको हो ।
8,बालिका बलात्कारको आरोपमा २० महिनापछि युवक पक्राउ,national,काठमाडौँ — भक्तपुरमा एक बालिकामाथि बलात्कार भएको २० महिनापछि बलात्कारका आरोपितलाई प्रहरीले पक्राउ गरेको छ । पीडित बालिकाका परिवारले घटनाको २० महिनापछि मात्रै बलात्कार भएको पत्ता लगाएका थिए । प्रहरीले भने अभिभावकबाट उजुरी आएको केही घण्टामै आरोपित सिन्धुपाल्चोक सुनकोसी गाउँपालिका–३ का १९ वर्षीय शमशेर पहरीलाई पक्राउ गरेको जनाएको छ ।
9,भक्तपुरमा मेलम्चीको पानी वितरण सुरु,national,"भक्तपुर — भक्तपुर नगरपालिकामा मेलम्चीको पानी वितरण सुरु गरेको छ । बिहीबारबाट कटुञ्जेस्थित खानेपानी ट्यांकीबाट भक्तपुर नगरपालिका १, २, ३, ४ र ५ वडामा मेलम्चीको खानेपानी वितरण थालिएको हो । भक्तपुर नगर प्रमुख सुनिल प्रजापति र काठमाडौं उपत्यका खानेपानी लिमिटेड (केयूकेएल) भक्तपुरका निवर्तमान प्रमुख सुरेन्द्र हिमालय श्रेष्ठले संयुक्तरुपमा मेलम्चीको पानीको साँचो खोली भक्तपुर नगरवासीको घरघरमा खानेपानी वितरण सुरु गरिएको हो । भक्तपुर नगरले खानेपानीको समस्या समाधानतर्फ सुरुदेखि आवश्यक पहल गरिरहेको र निर्वाचनमा पनि खानेपानीलाई पहिलो प्राथमिकतामा राखेर जनतालाई जेठको दोस्रो हप्ताभित्र मेलम्चीको पानी वितरण गर्नेमा जोड दिँदै आएको नगरप्रमुख प्रजापतिले बताए ।"
