,Title,Label,News
0,अपहरण र सामूहिक बलात्कारका दोषीलाई १६ वर्ष कैद,news,"काठमाडौँ — ०६७ मा दाङमा होटलबाट किशोरीलाई अपहरण गरी सामूहिक बलात्कार गर्नेलाई सर्वोच्च अदालतले १२ वर्षपछि सजाय दिएको छ । तर, जिल्ला र उच्च अदालतले दिएको न्यून सजायबाट फुत्किएका उनीहरूलाई पक्राउ गरेर सजाय असुल गर्न भने चुनौती छ । रुकुमको चुनवाङकी १८ वर्षकी लक्ष्मी (परिवर्तित नाम) आफ्ना केटा साथीसँग दाङको तुलसीपुरस्थित कृष्णसागर होटलमा बसेकी थिइन् । होटलमा होहल्ला गर्दै बसेका १० जना केटाहरूले टीभीको आवाज ठूलो बनाएर माथिल्लो तलासम्म डिस्टर्ब गरेपछि लक्ष्मीका केटा साथीले होटल साहूलाई गुनासो गरे । त्यसलगत्तै ती केटाहरू उनीमाथि जाइलागे । कुटपिट गरेर छाडिदिए तर लक्ष्मीलाई भने जबर्जस्ती उठाएर साबिक तुलसीपुर नगरपालिकाको वडा नं. ५ र ९ को बीचमा पर्ने पातुखोला किनारमा पुर्‍याएर रातभर सामूहिक बलात्कार गरे । त्यसमा संलग्न भएकामध्ये तीन जनालाई सर्वोच्चले १६ वर्षको कैद सजाय सुनाएको छ ।"
1,परम्परागत राजनीतिमाथि बालेन–विद्रोह,news,"काठमाडौँ — राजनीतिक दलको वर्चस्व रहेको काठमाडौं महानगरपालिकाको मेयरमा स्वतन्त्र उम्मेदवार वालेन्द्र साह (बालेन) को जितले हलचल मच्चाएको छ । यसले परम्परागत राजनीति गर्दै आएका दलहरूको सोच र शैलीमाथि प्रहार गरेको छ । ‘आजसम्म दलले गरे, अब बदल्नेले गरौं’ चुनावी घोषणापत्रमा साहले भनेका थिए । ‘अब उनले महानगरलाई कसरी बदल्लान् ?’ प्रश्न उनीतिरै तेर्सिएको छ । संघीय राजधानीसमेत रहेको महानगरलाई नयाँ ढंगले बदल्ने जिम्मेवारी उनको काँधमा आएको छ ।"
2,दाताको भर पर्दा खोप अनिश्चित,news,"काठमाडौँ — सरकारले खोप खरिद गर्न लाग्ने ६ अर्ब रुपैयाँ बचाउन खोज्दा ४० लाख बालबालिका अझै जोखिममा छन् । स्वास्थ्य मन्त्रालयले ५ देखि ११ वर्ष उमेर समूहका बालबालिकालाई चैतभित्रै खोप लगाइसक्ने बताएको थियो । तर, दातृ निकायको मुख ताक्दा जेठ पहिलो साता बितिसक्दा पनि खोप आउन सकेको छैन । खोप खरिद गर्न वैशाखमा मन्त्रिपरिषद्बाट स्वीकृति भइसकेको छ । यदि वैशाख दोस्रो साताभित्र कोभ्याक्सले नदिएमा किनेर भए पनि लगाइसक्ने भनिएको थियो । मंगलबार सार्वजनिक नीति तथा कार्यक्रममा पनि ५ देखि ११ वर्षका बालबालिकालाई खोप लगाउन सुरु गरिने उल्लेख छ । तर कहिलेसम्म भन्ने खुलाइएको छैन । स्वास्थ्य विभाग खोप शाखा प्रमुख सागर दाहालले असारको दोस्रो साताभित्र खोपसम्बन्धी विश्वव्यापी सञ्जाल (गाभी) मार्फत ल्याइसक्ने दाबी गरे । ‘त्यसका लागि गृहकार्य भइरहेको छ,’ उनले भने, ‘दातृ निकायले दिन्छु भनेको अफर किन स्वीकार नगर्ने ?’ उनले चुनाव भए पनि प्रत्येक साता बालबालिकालाई खोप लगाउने विषयमा छलफल जारी रहेको बताए । ‘निर्वाचनसँग हाम्रो कुनै तालमेल छैन,’ उनले भने ।"
3,र्‍यापबाटै राजनीति,news,"काठमाडौँ — देशको कर्मचारी शक्तिशाली सरकारी३० हजारको तलब, ३० वटा घरबारीबीच बजारको सडक २० वटा खाल्डो पारीखल्ती भारी, बैंक मारी, सात तहको अधिकारीकसले तिर्ने सात समुद्रपारि देशको सात उधारी र्‍याप भन्नेबित्तिकै अराजक र अश्लील भन्ने मानसिकता छ । खासमा जातीय, सामाजिक, आर्थिक र राजनीतिक विभेदविरुद्ध आक्रोशको रूपमा र्‍याप संगीतको सुरुवात भएको हो । बालेनको गीत ‘बलिदान’ ले यही प्रस्ट पार्छ ।"
4,३५ लाख पुस्तक छाप्नै बाँकी,news,"काठमाडौँ — नयाँ शैक्षिक सत्रको पठनपाठन सुरु भइसके पनि ३५ लाख थान पाठ्यपुस्तक विद्यार्थीको हातमा पुगेको छैन । जनक शिक्षा सामग्री केन्द्रले चालु शैक्षिक सत्रका लागि आवश्यक १ करोड ९८ थान पुस्तक छाप्नुपर्ने थियो । समयमै कागज आपूर्ति नहुँदा १ करोड ६३ लाख थान पुस्तक मात्रै छपाइ सम्भव भएको केन्द्रले जनाएको छ । केन्द्रका प्रबन्ध निर्देशक अनिलकुमार झाले रुस–युक्रेनबीचको द्वन्द्वका कारण कागज अभाव हुँदा समयमै पुस्तक छाप्न नसकिएको दाबी गरेका छन् । प्रतिनिधिसभाको शिक्षा तथा स्वास्थ्य समितिले बुधबार गरेको छलफलमा उनले स्थानीय तह चुनावको मतपत्र छपाइको असर पाठ्यपुस्तक छपाइमा परेको बताए । ‘रुस–युक्रेन युद्धले चैत १० सम्म आउनुपर्ने कागज आउन सकेन । मतपत्र छपाइ र चुनावले पनि ढिलाइ हुन पुग्यो,’ उनले थपे, ‘अहिले कागज आइसकेको छ, धमाधम पुस्तक छपाइ थालेका छौं ।’ असार पहिलो सातासम्म छापिसक्ने झाले प्रतिबद्धता जनाए ।"
5,धरानदेखि धनगढीसम्म उदाए ‘बालेन’ हरू,news,"काठमाडौँ — स्थानीय तहको निर्वाचनमा ३ सय ८५ जना स्वतन्त्र उम्मेदवार अनुमोदित भएका छन् । दलका उम्मेदवारलाई पराजित गरेर १३ जनाले त पालिका प्रमुखको नेतृत्व लिएका छन् । स्वतन्त्र जनप्रतिनिधिमध्ये चार जना उपप्रमुख/उपाध्यक्ष, १ सय ३६ वडाध्यक्ष र २ सय ३२ वडा सदस्य छन् । उनीहरूमध्ये केही कहिल्यै दलमा आबद्ध नभएका छन् भने केही दलबाट टिकट नपाएपछि बागी बनेका हुन् ।"
6,"दैलेखमा बस दुर्घटना, कम्तीमा ४ जनाको मृत्यु",news,"दैलेख — दैलेखमा बुधबार राति बस दुर्घटना हुँदा कम्तीमा ४ जनाको मृत्यु भएको छ । कालीकोट जितेगडाबाट सुर्खेत आउँदै गरेको म १ ख ६६० नम्बरको बस दैलेखको आठबीस नगरपालिका २ सिस्नेमा दुर्घटना हुँदा ४ जनाको मृत्यु भएको निर्वतमान मेयर खड्गराज उपाध्यायले जानकारी दिए । उनले कान्तिपुरसँग भने, 'सुर्खेतबाट आउँदै गरेको बस दुर्घटना भएको छ ।४ जनाको शव भेटिएको छ ।'"
7,आमसञ्चार प्रतिष्ठानमा भट्टराईको नाम जोडिएकोमा फोनिजको आपत्ति,news,"काठमाडौँ — सरकारले गठन गर्न लागेको आमसञ्चार प्रशिक्षण प्रतिष्ठानमा कृष्णप्रसाद भट्टराईको नाम जोडिएको प्रति नेपाल आदिवासी जनजाति पत्रकार महासंघ (फोनिज)ले आपत्ति जनाएको छ । संघीय संसद्‌मा मंगलबार प्रस्तुत आगामी वर्षको नीति तथा कार्यक्रमको ८५ नम्बर बुँदामा आमसञ्चर क्षेत्रमा कार्यरत जनशक्तिको क्षमता विकासका लागि ‘कृष्णप्रसाद भट्टराई आमसञ्चार प्रशिक्षण प्रतिष्ठान’ सञ्चालनमा ल्याइने उल्लेख छ । आमसञ्चार प्रतिष्ठान सञ्चालन गर्ने सरकारको नीति स्वागतयोग्य रहे तापनि प्रतिष्ठानको नाममा व्यक्तिको नाम जोड्नु गलत रहेको फोनिजका महासचिव मिलन लिम्बूद्वारा जारी विज्ञप्तिमा उल्लेख छ । ‘प्रतिष्ठान सञ्चालन गर्ने विषय स्वागतयोग्य विषय हो । तर, व्यक्तिको नामबाट प्रतिष्ठान सञ्चालन गर्ने कुरा स्वीकार्य हुन सक्दैन । यदि, व्यक्तिकै नामबाट प्रतिष्ठान सञ्चानल गर्ने हो भने नेपाल पत्रकार संघ (हाल महासंघ)का संस्थापक सभापति सत्यनारायणबहादुर श्रेष्ठको नाममा सञ्चालन गरिनुपर्ने फोनिजको धारणा रहेको छ,’ विज्ञप्तिमा भनिएको छ ।"
8,संस्थापक गभर्नर राणा जापान सरकारद्वारा सम्मानित,news,"काठमाडौँ — नेपाल राष्ट्र बैंकका संस्थापक गभर्नर एवं पूर्वअर्थसचिव हिमालय शमशेर राणालाई जापान सरकारले ‘अर्डर अफ जापान’ (द अर्डर अफ द राइजिङ सन, गोल्ड एन्ड सिल्भर स्टार)बाट सम्मान गरेको छ । "
9,चुनाव नहारेका चिरीबाबु,news,"काठमाडौँ — एकातिर उम्मेदवार बन्ने आकांक्षीको लर्को, अर्कोतिर जित्ने उम्मेदवारलाई टिकट दिनुपर्ने दबाब । ०७४ को स्थानीय तह निर्वाचनताका नेपाली कांग्रेसका सभापति एवम् प्रधानमन्त्री शेरबहादुर देउवा ललितपुर महानगरपालिकाको मेयर उम्मेदवारको खोजीमा थिए । त्यही बेला देउवालाई ललितपुर कांग्रेसले नाम दियो– चिरीबाबु महर्जन । पटक–पटक वडाध्यक्ष भएर काम गरेका, तर पार्टीमा ठूलो जिम्मेवारी र भूमिकामा नरहेका चिरीबाबुमाथि देउवाले प्रश्न उठाए, र जित्नैपर्ने दबाब रहेको सुनाए । त्यसपछि चिरीबाबुले बाजी ठोके– आफूले हारे पार्टी सभापतिलाई एक लाख रुपैयाँ दिने अनि जिते देउवाले एक सय रुपैयाँ दिनुपर्ने । बाजीसँगै टिकट पक्का भयो । चिरीबाबुले चुनाव जिते, बाजी पनि जिते । बाजी जितेपछि सभापति देउवाले चिरीबाबुलाई एक सय होइन, एक हजार रुपैयाँको नोट दिएका थिए ।"
