,Title,Label,News
0,वैचारिक अडानको अवसान,opinion,"बेलाबखत विपरीतार्थक सुनिने वाक्यहरू यथार्थमा परिपूरक ठहरिन सक्छन् । आगामी आर्थिक वर्षको सरकारको आयव्यय एवं स्रोत परिचालन प्रस्तावको प्रतिरक्षा गर्दै अर्थमन्त्री जनार्दन शर्माले बजेट चुनावलक्षित, वितरणमुखी एवं अव्यावहारिक नरहेको तर्क गरेका छन् । शब्दहरूको छनोटलाई हेर्ने हो भने उनको कुनै पनि दाबी गलत छैन । प्रादेशिक एवं संघीय निर्वाचन हुने वर्ष हो, त्यसैले बजेट चुनावकेन्द्रित स्वाभाविक रूपले हुन जान्छ । त्यसलाई चुनावलक्षित ठहर्‍याउनु आरोप हो, प्रामाणिक वक्तव्य होइन । नियमित खर्च एवं पुँजीगत लगानी मात्र गरेर राज्य चल्दैन, त्यसैले जस्तोसुकै बजेटभित्र वितरणमुखी प्रावधान राखिएकै हुन्छ । कार्यान्वयन हुन सक्ने हो वा होइन भन्ने कुरा अनुमानको भरमा ठोकुवा गर्नु पूर्वाग्रहको अभिव्यक्ति हो । प्रमुख प्रतिपक्षका नेता खड्गप्रसाद शर्मा ओलीले बजेटलाई अनुचित, सिद्धान्तहीन एवं प्राथमिकताविहीन भन्दै आलोचना गरेका छन् । उनको समेत कुनै पनि निष्कर्ष आधारहीन छैन । आगामी आर्थिक वर्षमा राज्य संयन्त्रको मुख्य जिम्मेवारी चुनाव गराउनु हुने भएकाले महत्त्वाकांक्षी बजेट औचित्यहीन ठहरिने सम्भावना बढी छ । अन्तरविरोधी विचारधाराको प्रतिनिधित्व गर्ने नेपाली कांग्रेस र माओवादी सामेल रहेको सरकारको बजेट सिद्धान्तहीन हुने नै भयो । चुनावकेन्द्रित बजेटमा अन्य प्राथमिकता गौण हुन जानु अचम्म होइन ।"
1,काठमाडौं महानगरमा सांकेतिक विद्रोह,opinion,"स्थानीय तहको निर्वाचनमा काठमाडौं महानगरपालिकाको परिणामले देशको ध्यान खिच्यो । काठमाडौंको मेयरमा दलीय राजनीतिका दुई चर्चित उम्मेदवारलाई एक स्वतन्त्र उम्मेदवारले भारी मतले उछिने । स्थानीय मतदाताबाहेक अन्यलाई यस प्रकारको परिणाम सायद अपेक्षित थिएन । पहिला नै महानगरको नेतृत्व सम्हालिसकेका एमालेका केशव स्थापित तथा कांग्रेसी राजनीतिका सर्वोच्च नेता गणेशमान सिंहको पारिवारिक विरासतबीच नै कडा टक्कर हुने अनुमान सबैजसोको थियो । तर राजनीतिमा नाम नसुनिएका तथा युवा पुस्तामाझ मात्र चर्चित एक गायकले महानगरवासीको यति ठूलो अभिमत पाए, जुन सामान्य कुरा होइन । साँचो अर्थमा बालेन शाहले यो सफलता राष्ट्रिय झन्डा ओढेको अथवा राजनीतिक एजेन्डाका आधारमा पाएका होइनन् । उनले यो जनमत आम जनतामा देखिएको दलीय राजनीतिप्रतिको वितृष्णा एवं कुण्ठाका कारण पाएका हुन् । राजनीतिक दलहरूका नेताले वर्षौंदेखि आफ्नो आस्था, विश्वास र अपेक्षामाथि खेलबाड गर्दै आएकामा जनताद्वारा गरिएको सांकेतिक विद्रोह हो- महानगरको वर्तमान राजनीतिक परिदृश्य । आम नागरिकको सहनशीलताले सीमा नाघिसकेपछिको विस्फोट पनि हो यो मतपरिणाम ।"
2,स्विडेनी तटस्थताको अन्त्य र नेपालको असंलग्नता,opinion,"२४ फेब्रुअरी २०२२ देखि युक्रेनमा जारी रुसी आक्रमण र सो उप्रान्तका द्रुत घटनाक्रमपछि स्विडेनको संसद्ले १६ मे २०२२ मा उत्तर एटलान्टिक सन्धि संगठन (नेटो) मा सामेल हुने अभूतपूर्व निर्णय गर्‍यो । फिनल्यान्डको निर्णय (१२ मे २०२२) ले स्विडेनलाई प्रभावित गरेको पनि भनिन्छ । पश्चिमी सञ्चारमाध्यमहरूले यो निर्णयलाई ‘ऐतिहासिक परिवर्तन’, अर्थात् तटस्थताबाट सैन्य गठबन्धनका रूपमा वर्णन गरिरहेका छन् । यद्यपि यी दुई देश सन् १९९० को दशकको मध्यदेखि नेटोसँग ‘शान्तिका लागि साझेदारी’ मा संलग्न थिए । स्विडेन र फिनल्यान्डले नेटोमा संलग्नताका लागि मुख्यालयमा निवेदन पठाइसकेका छन् । माथि उल्लिखित निर्णयबाट स्विडेन र फिनल्यान्डको सुरक्षा र विदेश नीतिमा के परिवर्तन भएको छ र त्यसमा के सम्भावना छ, तटस्थताको अन्त्य भए पनि नेपालको असंलग्नता कायमै रहनुपर्छ कि पर्दैन भन्ने नै यहाँ छलफलको मुख्य विषय हो ।"
3,वन वृद्धि र उपयोगिता,opinion,"सरकार तथा समुदायको दशक लामो संरक्षण प्रयासपछि पछिल्ला वर्षहरूमा वन क्षेत्र बढिरहेको छ । वन तथा वातावरण मन्त्रालय संलग्न हालैको एक अध्ययनले राष्ट्रिय निकुञ्ज, वन्यजन्तु आरक्ष र संरक्षण क्षेत्रबाहेक वनको क्षेत्रफल ४६.०७ प्रतिशत पुगेको देखाएको छ । यसलाई टिकाउनु वा अझ बढाउनु चुनौतीपूर्ण छ । कति वनहरू तस्करीका कारण भित्रभित्रै मासिइरहेका समाचारहरू बेलाबखत सार्वजनिक भइरहन्छन्; खास गरी मुलुकमा कुनै संक्रमणकाल आउँदा यस्तो प्रवृत्ति बढ्ने गरेको छ । कति स्थानमा हाम्रो होस्ल्याङे विकासको मारमा पनि वन र वातावरण नै पर्ने गरेको छ । त्यसैले वन क्षेत्रको टिकाउ र व्यवस्थित वृद्धिमा वैज्ञानिक पहल र सतर्कताको खाँचो छ ।"
4,बालेन-उदयको भाष्य,opinion,"हालै सम्पन्न स्थानीय चुनावमा स्वतन्त्र उम्मेदवारहरूको विजयले, खास गरी सबैतिर हलचल मच्चाउने काठमाडौंमा बालेनको र धरानमा हर्क साम्पाङको जितले एकातिर लोकतन्त्रमा प्रक्रियागत स्वतः परिमार्जन (सेल्फ करेक्सन) हुने सम्भावनाहरू उजागर गरेको छ भने, अर्कातर्फ खतराको घण्टी पनि बजाएको छ । वर्षौंको सार्वजनिक हितका लागि गरेको व्यक्तिगत संघर्ष र प्रचारप्रसारका कारण जनजातिबहुल सहर धरानमा हर्क साम्पाङको जित लोकतन्त्रमा सुखद घटना हो । साम्पाङको उदाहरण अरू ठाउँमा पनि अनुकरणीय हुन सक्छ र हुनु पनि पर्छ । तर काठमाडौंमा बालेनको युवा लहर अन्ततः जितमा परिणत हुनु अनेकौं कारणले अप्रत्याशित, प्रतीकात्मक र ‘गेमचेन्जर’ सम्भावना बोकेको ऐतिहासिक घटना हो ।"
5,स्थानीय सरकारलाई जनमुखी कसरी बनाउने ?,opinion,"निर्वाचन हुँदैमा लोकतन्त्र लागू हुने होइन । कुनै बेला राजा पनि सयौं कुलीन पुरुष राजाहरूबाट निर्वाचित हुन्थे । राजा निर्वाचित हुने आदिम गणतन्त्रबाट राजतन्त्र निर्माण भएको इतिहास छ, जुन मूलतः अनिर्वाचित, अलोकतान्त्रिक र सामन्तवादी स्वरूपमा थियो । नेपालसहित दक्षिण एसियामा खास कुल–वंश, ज्येष्ठता र लैंगिक श्रेष्ठताका भाष्य–आधारमाथि टेक्दै राजतन्त्रले गणतन्त्रलाई विस्थापित गरेको थियो । करिब दुई हजार वर्षसम्म राजतन्त्रले गरेको शासन र शोषण, दोहन र दलनबाट मुक्तिका लागि गणतन्त्र स्थापना गरिएको हो । तन्त्र वा व्यवस्था परिवर्तन गरिँदैमा शासन र शोषण, दोहन र दलनका संरचना, प्रणाली र संस्कृति फेरिन्छन् भन्ने कुनै प्रत्याभूति छैन ।"
6,यौन दुर्व्यवहारका मनोवैज्ञानिक पक्ष,opinion,"एक दशकअगाडि एक ४० वर्षीया विदेशी महिला मसम्म आइपुगिन् । ९–१० वर्षको उमेरमा आफ्नै परिवारका सदस्यले गरेको यौन दुर्व्यवहारका डरलाग्दा अनुभव र आघात बोकेर आएकी उनी हुर्किने क्रममा कहिल्यै सन्चो भइनन् । अझ विपरीतलिंगीसँगका सम्बन्धहरू कहिल्यै निर्वाह गर्न नसकेकै कारण खुसी नभएको अनुभव थियो उनीसँग । जब उनलाई कुनै सम्बन्ध दिगो हुन लागेको आभास हुन्थ्यो, तब यौन दुर्व्यवहारको आघात बल्झन थाल्थ्यो । मसँग भेट्दा उनी बौद्ध धर्मका अभ्यासहरूबाट आफैंलाई सम्हाल्ने प्रयासमा थिइन् । उनलाई आफ्नो समस्याबारे थाहा थियो र सन्चो हुन चाहन्थिन् । उनका आँखाहरू बारम्बार डुलिरहन्थे, भन्थिन्, ‘मलाई कोही केटा मान्छेले नराम्रो काम गर्न उकासिरहन्छ ।’"
7,अर्थतन्त्र नसुधार्ने चुनावी बजेट,opinion,"अर्थमन्त्री जनार्दन शर्माले आइतबार संसद्मा प्रस्तुत गरेको बजेटले कमजोर स्रोत तथा खर्च क्षमता र संकटोन्मुख अर्थतन्त्रको वर्तमान समयलाई भुलेको र संघीय संसद् र प्रदेश सभा निर्वाचनलाई मात्र विशेष रूपमा सम्झिएको देखिन्छ । निर्वाचनलाई दृष्टि दिँदा धेरै तह र तप्कालाई रिझाउन खोजिएको छ । मुलुकको अर्थतन्त्र सुदृढ गर्ने र यसमा देखिएका अल्पकालीन तथा दीर्घकालीन समस्याहरू समाधान गर्न ठोस कार्यक्रमहरू भने ल्याइएका छैनन् । केही सकारात्मक प्रयासका बावजुद समग्रमा अहिलेको सघन समस्याबारे बजेट बेखबरजस्तै देखिन्छ । र, सबैलाई खुसी पार्न खोज्दाखोज्दै पनि सामाजिक सुरक्षाले समेटिने बाहेकका तल्लो तहका जनताको जीवनस्तर उजिल्याउन यसले कुनै प्रकाश छरेको छैन ।"
8,‘डिपार्चर’ लिन चुकेको बजेट,opinion,"पाँचदलीय गठबन्धन सरकारले आगामी साउनदेखि सुरु हुने अर्को आर्थिक वर्ष २०७९–८० का लागि १७ खर्ब ९३ अर्ब ८३ करोड रुपैयाँको बजेट संघीय संसद्‌मा प्रस्तुत गरेको छ । अघिल्लो वर्ष नेकपा एमालेको सरकारले प्रस्तुत गरेको बजेटभन्दा करिब १ खर्ब ४७ अर्ब रुपैयाँको बढोत्तरी आकारका दृष्टिमा अस्वाभाविक छैन । तर, अर्थतन्त्रले धान्नै नसक्ने गरी भयावह भैसकेका आर्थिक सूचक, जटिलता र जोखिमहरूलाई भने पूर्णतः अनदेखा गरेर, फेरि अर्को एउटा ‘उस्तै’ बजेट ल्याउने वार्षिक कर्मकाण्ड सरकारले पूरा गरेको छ । "
9,चुनावी संकेत र सन्देशहरू,opinion,"स्थानीय तहको चुनावले नेपाली राजनीतिमा बहसको शीर्षक नै फेरिदियो । घटना र अवस्थाले मानिसलाई नियन्त्रण र निर्देशन गर्छ । परिणामले नियत प्रस्ट्याउँछ । विरोधीको कमजोर हिस्सामा किल्लाभेदन गर्दै सकुशल बाहिर निक्लनु कुशल सेनापतिको रणकौशल हो । व्यूहरचनामा दूरदृष्टि पुर्‍याए कमजोर सैन्य शक्ति, हतियारको कमी र प्रतिकूल अवस्थामा पनि शक्तिशाली सेनालाई सहजै पराजित गर्न सक्छ । ससाना लाग्ने विषयले निर्णायक क्षणलाई गम्भीर प्रभाव पार्नेमा रणनीतिकारहरू मिहिन पाराले ध्यान दिन्छन् । चुनाव व्यवस्थापन कला पनि हो । हालै सम्पन्न चुनावमा दुई प्रकारका गठबन्धन भए । हितअनुकूलका मूल्यहीन अनेकौं गठबन्धन पनि भए । गुटका ‘टसल’ ले घर पोलेर मूल कोठा खोज्ने प्रवृत्ति पनि देखियो । गठहरू त भए तर तिनमा नैतिक बन्धन भने रहेन । स्वतन्त्रहरूको विजयले पार्टीहरूको मर्ममै प्रहार गर्‍यो ।"
